Unnamed: 0,Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
3,2015-12-06,1.48,4400.25,1358.53,1735.98,0.0,1305.74,130.0,1175.74,0.0,organic,2015,Atlanta
25,2015-07-05,1.05,190716.43,4890.33,119457.27,13495.86,52872.97,30631.37,21037.53,1204.07,conventional,2015,Indianapolis
40,2016-03-20,1.27,1045450.41,105069.07,352698.21,9425.64,578257.49,252881.52,325375.97,0.0,organic,2016,TotalUS
16,2017-09-10,2.15,9883.59,313.75,4230.58,0.0,5339.26,2166.91,3172.35,0.0,organic,2017,CincinnatiDayton
10,2018-01-14,1.93,16205.22,1527.63,2981.04,727.01,10969.54,10919.54,50.0,0.0,organic,2018,WestTexNewMexico
34,2017-05-07,1.82,12366.01,4943.78,4878.07,0.0,2544.16,693.23,1850.93,0.0,organic,2017,PhoenixTucson
13,2016-09-25,2.06,21533.64,538.08,10810.83,285.7,9899.03,9892.36,6.67,0.0,organic,2016,BaltimoreWashington
46,2016-02-07,1.7,3886.64,2384.31,72.33,0.0,1430.0,1430.0,0.0,0.0,organic,2016,Orlando
20,2016-08-07,1.65,10375.29,405.22,5999.14,1492.11,2478.82,2422.15,56.67,0.0,organic,2016,Charlotte
35,2015-04-26,1.41,136964.3,1117.56,49556.91,106.4,86183.43,85503.15,640.0,40.28,conventional,2015,BuffaloRochester
19,2016-08-14,1.14,83933.43,24615.83,16234.66,2321.26,40761.68,40759.3,0.0,2.38,conventional,2016,Spokane
4,2015-11-29,1.75,83415.54,13195.19,48229.29,0.0,21991.06,21671.7,319.36,0.0,organic,2015,California
5,2017-11-26,1.3,4392810.0,1734281.0,1354966.0,121946.0,1181616.0,1093008.0,27254.0,61354.0,conventional,2017,California
20,2016-08-07,1.21,362836.43,147057.02,95386.32,107.35,120285.74,75445.92,35139.82,9700.0,conventional,2016,Tampa
41,2016-03-13,1.22,7169.41,102.82,3612.57,0.0,3454.02,917.94,2536.08,0.0,organic,2016,Roanoke
2,2018-03-11,0.58,1619549.79,941189.25,269078.43,14057.17,395224.94,227505.97,161870.08,5848.89,conventional,2018,PhoenixTucson
1,2016-12-18,1.99,51329.63,11645.06,22852.9,190.58,16641.09,16086.71,554.38,0.0,organic,2016,NewYork
1,2018-03-18,1.11,508979.43,333194.13,32206.33,1543.14,142035.83,82165.92,59626.58,243.33,conventional,2018,Orlando
31,2016-05-22,0.89,100552.55,28756.53,23438.52,3206.91,45150.59,36360.99,8782.18,7.42,conventional,2016,Spokane
23,2017-07-23,1.47,393360.73,35968.15,227600.65,415.16,129376.77,117089.39,10184.05,2103.33,conventional,2017,Philadelphia
12,2015-10-04,2.11,2990.97,1810.36,27.8,0.0,1152.81,1152.81,0.0,0.0,organic,2015,Orlando
44,2017-02-26,1.05,143520.74,12328.78,30665.47,3.2,100523.29,87365.6,13157.69,0.0,organic,2017,LosAngeles
26,2015-06-28,1.08,1826182.48,954738.73,480810.73,18637.71,371995.31,358087.94,12451.24,1456.13,conventional,2015,Plains
37,2016-04-10,0.58,14137.4,668.77,489.85,0.0,12978.78,61.76,12917.02,0.0,organic,2016,StLouis
17,2015-08-30,1.26,116109.0,64015.75,19572.08,657.28,31863.89,20460.51,11403.38,0.0,conventional,2015,Jacksonville
19,2017-08-20,1.52,3113164.81,1729866.38,444533.12,3377.63,935387.68,544185.62,352850.68,38351.38,conventional,2017,Southeast
13,2015-09-27,1.68,2137.67,849.13,835.21,0.0,453.33,453.33,0.0,0.0,organic,2015,GrandRapids
41,2016-03-13,1.3,315394.32,4317.14,253676.96,179.09,57221.13,56230.93,990.2,0.0,conventional,2016,HartfordSpringfield
